Episode,Update,Return,Reason,StartAlt,StartDist,final_dist,final_vel
1,2261,722.9375,Success,29.87,3.13,2.80,-1.31
2,2261,703.5952,Success,37.3,1.17,4.59,-2.61
3,2261,-226.722,Crash,38.64,0.53,1.47,-4.70
4,2261,704.7859,Success,35.43,1.37,4.59,-2.23
5,2261,695.7502,Success,36.32,0.77,6.44,-1.33
6,2261,-251.5631,Spin,41.3,1.01,0.99,-8.55
7,2261,718.7869,Success,32.86,2.06,4.23,-3.38
8,2262,-231.617,Crash,30.06,2.58,4.91,-2.91
9,2262,700.71,Success,39.49,1.37,2.59,-2.79
10,2262,731.5416,Success,33.57,0.94,0.68,-3.08
11,2262,699.9172,Success,36.06,2.52,3.85,-1.21
12,2262,727.118,Success,30.37,2.49,2.41,-2.29
13,2262,720.8427,Success,33.17,1.33,2.22,-2.72
14,2262,720.7208,Success,33.96,1.56,1.83,-1.31
15,2262,729.7269,Success,31.26,1.77,2.64,-2.02
16,2263,690.6037,Success,37.82,1.87,5.10,-0.35
17,2263,720.3034,Success,29.81,1.91,3.51,-1.21
18,2263,694.3148,Success,35.69,3.53,3.40,-3.12
19,2263,694.3059,Success,39.16,2.95,0.96,-2.05
20,2263,-246.1074,Crash,37.73,2.63,4.01,-4.28
21,2263,-284.962,Crash,29.71,3.15,9.81,-1.36
22,2264,698.2551,Success,39.85,1.05,4.78,-1.27
23,2264,685.0211,Success,33.55,3.61,7.18,-1.85
24,2264,636.8272,Success,39.1,2.74,8.87,-0.55
25,2264,-271.8603,Crash,40.07,2.49,9.69,-1.31
26,2264,-226.807,Crash,30.65,2.48,3.16,-5.80
27,2264,-569.6934,OutOfBounds,37.91,3.38,24.03,1.58
28,2265,-499.5615,OutOfBounds,36.03,2.5,20.94,2.04
29,2265,711.9171,Success,31.27,3.74,4.35,-2.31
30,2265,694.9923,Success,38.25,2.48,3.22,-2.76
31,2265,-249.9779,Crash,36.03,3.08,6.01,-6.04
32,2265,712.7715,Success,30.57,2.79,4.37,-2.04
33,2265,725.9761,Success,31.56,1.8,1.50,-1.75
34,2266,720.9184,Success,33.35,2.02,3.69,-3.80
35,2266,702.7388,Success,39.12,2.91,1.45,-4.17
36,2266,691.9028,Success,37.99,3.27,2.02,-2.37
37,2266,690.545,Success,41.46,2.44,3.77,-3.15
38,2266,-273.5024,Spin,38.09,1.56,1.71,-10.14
39,2266,-227.302,Crash,33.99,2.77,1.57,-4.89
40,2266,705.5177,Success,39.28,2.71,1.78,-3.26
41,2266,676.9588,Success,41.09,1.87,5.18,-1.26
42,2267,698.916,Success,31.71,3.9,6.46,-3.49
43,2267,-249.2422,Crash,39.4,2.85,5.27,-6.77
44,2267,698.3977,Success,34.99,1.8,6.47,-1.21
45,2267,716.3238,Success,38.29,0.99,1.93,-3.40
46,2267,688.7859,Success,39.43,2.32,4.38,-3.53
47,2267,711.4357,Success,32.54,3.43,4.25,-3.92
48,2267,689.5446,Success,38.43,3.01,4.87,-3.53
49,2268,-253.4112,Crash,36.2,3.69,7.29,-8.33
50,2268,-230.2739,Crash,32.72,1.77,4.51,-5.35
51,2268,700.3121,Success,31.7,3.65,6.58,-1.03
52,2268,715.3273,Success,38.0,1.48,2.25,-2.01
53,2268,-231.6617,Crash,32.03,2.49,4.63,-4.31
54,2268,-236.7867,Crash,39.81,1.16,2.33,-5.93
55,2268,-237.8001,Crash,36.26,1.87,3.26,-5.17
56,2268,719.4832,Success,31.85,3.22,1.79,-1.65
57,2269,644.0623,Success,36.11,2.7,4.94,-1.84
58,2269,-277.5959,Spin,36.34,2.82,2.93,-9.74
59,2269,-230.6002,Crash,32.25,2.81,1.41,-1.10
60,2269,721.3857,Success,29.97,1.27,3.71,-0.58
61,2269,705.2662,Success,30.7,3.1,4.58,-1.39
62,2269,708.0937,Success,32.79,2.83,5.77,-3.05
63,2270,-315.3084,Spin,39.24,2.62,3.24,-11.18
64,2270,730.2581,Success,30.54,1.64,2.91,-1.66
65,2270,717.306,Success,34.79,2.15,1.05,-1.74
66,2270,686.9085,Success,41.4,2.82,2.51,-1.70
67,2270,726.7629,Success,32.51,1.1,3.28,-2.27
68,2270,730.7334,Success,30.14,0.93,3.57,-0.82
69,2270,714.8813,Success,33.26,2.54,2.22,-3.09
70,2271,670.8798,Success,41.63,2.76,5.59,-3.43
71,2271,701.8518,Success,37.96,2.67,1.43,-2.42
72,2271,736.243,Success,32.14,0.77,1.31,-1.70
73,2271,704.895,Success,34.87,2.93,4.97,-2.75
74,2271,686.4085,Success,40.09,3.0,3.30,-1.87
75,2271,-292.8574,Spin,39.11,3.46,3.69,-11.17
76,2271,722.4447,Success,30.38,2.43,3.15,-2.18
77,2271,712.7065,Success,33.9,1.54,4.01,-1.84
78,2272,727.6856,Success,34.21,1.39,1.53,-2.56
79,2272,711.4007,Success,39.91,1.11,2.06,-2.54
80,2272,715.0293,Success,35.37,3.32,2.92,-3.07
81,2272,704.3484,Success,36.57,2.89,3.40,-2.45
82,2272,704.6604,Success,39.02,1.31,4.96,-2.16
83,2272,-247.6668,Crash,39.45,2.18,6.93,-5.94
84,2272,713.1801,Success,37.39,1.38,2.24,-1.71
85,2272,725.7422,Success,34.35,2.13,0.52,-3.33
86,2273,-260.4645,Crash,40.49,2.92,6.31,-7.65
87,2273,736.2754,Success,31.95,1.1,2.30,-3.30
88,2273,705.7872,Success,33.54,2.89,6.63,-1.72
89,2273,-226.1765,Crash,30.53,2.92,6.44,-4.29
90,2273,705.8352,Success,36.81,2.99,2.96,-3.11
91,2273,-239.4111,Crash,34.35,2.27,7.44,-2.13
92,2273,-220.1095,Crash,34.5,1.35,0.62,-4.87
93,2273,720.3683,Success,36.05,1.85,1.65,-1.27
94,2274,717.1821,Success,31.02,2.09,6.33,-3.00
95,2274,701.5844,Success,38.77,0.67,5.64,-0.31
96,2274,704.445,Success,37.75,3.14,1.35,-3.26
97,2274,716.5804,Success,33.64,2.72,4.00,-3.05
98,2274,688.8234,Success,37.06,2.8,6.22,-2.44
99,2274,-235.3459,Crash,38.36,1.37,5.15,-1.47
100,2274,707.8282,Success,35.35,2.69,3.77,-2.08
101,2274,699.8468,Success,36.72,2.77,5.22,-2.18
102,2275,712.8772,Success,36.11,2.2,2.77,-3.38
103,2275,718.8863,Success,34.47,1.24,4.36,-1.05
104,2275,-229.1017,Crash,34.08,2.88,1.53,-4.58
105,2275,-264.5407,Crash,40.6,4.19,6.31,-3.90
106,2275,710.8143,Success,34.4,2.39,4.54,-2.95
107,2275,707.1031,Success,34.67,2.9,5.38,-3.39
108,2275,706.6393,Success,36.89,2.93,2.46,-2.90
109,2275,717.5508,Success,33.01,2.66,4.06,-2.52
110,2276,721.1304,Success,33.96,2.06,2.02,-3.86
111,2276,732.8349,Success,33.75,1.0,1.95,-2.99
112,2276,725.2881,Success,35.3,1.87,1.86,-3.07
113,2276,719.2323,Success,33.59,2.02,3.92,-3.91
114,2276,-251.2735,Crash,40.6,2.2,6.12,-4.12
115,2276,719.6027,Success,35.08,2.45,0.42,-2.64
116,2276,-198.8403,Crash,30.32,0.26,0.46,-4.48
117,2276,720.1865,Success,30.97,3.52,4.11,-2.30
118,2277,-219.5739,Crash,36.29,0.9,1.90,-4.90
119,2277,-242.2647,Crash,41.38,1.56,2.63,-5.32
120,2277,717.6029,Success,32.67,2.76,4.30,-3.33
121,2277,727.0599,Success,32.39,1.26,4.87,-2.39
122,2277,-244.0768,Crash,37.81,3.3,2.23,-5.74
123,2277,-232.1027,Crash,36.03,2.44,2.24,-4.59
124,2277,-244.0796,Crash,39.25,2.87,2.75,-5.57
125,2277,703.1533,Success,40.76,1.31,3.78,-1.78
126,2278,729.4924,Success,33.06,1.28,1.55,-3.51
127,2278,691.104,Success,34.86,3.17,6.91,-2.75
128,2278,691.6712,Success,38.02,2.91,4.06,-3.42
129,2278,-246.477,Crash,37.58,3.21,2.77,-3.25
130,2278,710.3105,Success,35.84,2.49,2.41,-3.39
131,2278,695.9628,Success,32.58,3.98,4.58,-2.89
132,2278,715.0067,Success,32.18,3.47,2.62,-2.46
133,2278,707.8044,Success,40.39,1.38,2.27,-2.66
134,2279,685.3899,Success,40.28,3.25,4.67,-3.11
135,2279,-245.4579,Crash,40.51,2.22,3.45,-6.37
136,2279,-223.8394,Crash,30.22,2.61,4.09,-3.84
137,2279,-240.538,Crash,36.55,2.16,3.83,-2.64
138,2279,726.369,Success,30.5,2.57,3.21,-1.96
139,2279,703.473,Success,41.03,1.71,2.03,-3.06
140,2279,726.2652,Success,33.3,1.5,3.10,-3.91
141,2280,675.283,Success,41.05,2.3,7.28,-2.71
142,2280,721.2901,Success,31.28,3.01,0.97,-2.05
143,2280,732.5619,Success,30.45,1.89,1.17,-2.64
144,2280,712.6537,Success,39.49,0.42,3.32,-2.09
145,2280,714.3487,Success,38.47,1.46,2.11,-0.72
146,2280,729.0321,Success,32.69,2.41,3.92,-4.17
147,2280,695.6079,Success,40.05,1.91,6.04,-3.52
148,2280,688.2574,Success,38.44,3.88,4.59,-2.38
149,2281,697.8048,Success,35.93,3.2,4.00,-2.44
150,2281,720.8217,Success,33.42,2.57,1.75,-2.46
151,2281,705.2699,Success,34.3,3.26,4.43,-1.40
152,2281,723.1418,Success,30.33,3.71,4.40,-2.07
153,2281,716.8865,Success,35.73,1.86,4.29,-4.47
154,2281,683.385,Success,41.52,2.66,5.09,-3.16
155,2281,723.2224,Success,36.8,1.2,2.35,-3.78
156,2281,-236.5594,Crash,32.65,1.8,9.58,-5.93
157,2282,717.4729,Success,33.58,3.05,1.15,-4.27
158,2282,-231.22,Crash,35.48,2.32,3.31,-4.19
