Episode,Update,Return,Reason,StartAlt,StartDist,Difficulty
1,0,-52.9946,Tilted,5.12,2.80,0.91,-2.32
2,0,-52.1674,Tilted,5.38,3.71,3.23,-2.59
3,0,-54.6597,Tilted,8.51,3.78,1.59,-1.67
4,1,-57.9451,Tilted,12.55,3.99,70.83,-1.54
5,1,-51.7230,Tilted,3.59,3.15,2.00,-2.65
6,2,-12.2351,TimeLimit,3.03,2.64,2.61,-0.00
7,2,-52.1530,Tilted,8.26,3.44,1.86,-2.77
1,0,-31.3975,Crash,11.07,3.86,3.90,-9.17
2,0,-31.1860,Crash,10.44,3.36,3.34,-7.28
3,0,-31.3787,Crash,8.20,4.37,4.26,-7.18
4,0,156.3830,Success,3.70,4.24,4.00,-3.09
5,0,-30.7964,Crash,4.83,3.48,3.35,-4.48
6,0,157.1954,Success,2.58,3.06,3.08,-2.79
7,0,-31.0996,Crash,8.05,3.62,3.78,-7.21
8,0,-30.9500,Crash,11.75,2.90,2.47,-8.57
9,0,156.6618,Success,3.14,3.59,3.69,-2.64
10,0,-30.8835,Crash,4.19,4.05,4.21,-4.16
11,0,-29.9019,Crash,8.09,0.97,0.74,-6.92
