Update,Episode,Step,dy,dx,vy,thrust,pitch,reward
0,0,0,5.12,-0.61,-0.20,0.66,-0.79,-0.010
0,0,1,5.11,-0.61,-0.19,0.36,-0.24,-0.010
0,0,2,5.11,-0.61,-0.28,0.76,-0.80,-0.010
0,0,3,5.10,-0.61,-0.25,0.11,0.70,-0.010
0,0,4,5.10,-0.61,-0.41,0.42,-0.65,-0.010
0,0,5,5.09,-0.61,-0.48,0.42,-0.66,-0.011
0,0,6,5.07,-0.61,-0.55,0.10,-0.16,-0.011
0,0,7,5.06,-0.61,-0.71,0.49,-0.03,-0.011
0,0,8,5.05,-0.61,-0.76,0.47,-0.38,-0.011
0,0,9,5.03,-0.61,-0.81,0.27,-0.37,-0.011
0,0,10,5.01,-0.61,-0.93,0.04,-0.10,-0.011
0,0,11,4.99,-0.61,-1.11,0.57,0.55,-0.011
0,0,12,4.97,-0.61,-1.13,0.12,0.62,-0.011
0,0,13,4.94,-0.61,-1.29,0.21,-0.81,-0.011
0,0,14,4.91,-0.61,-1.42,0.58,0.59,-0.011
0,0,15,4.88,-0.61,-1.44,0.33,0.63,-0.012
0,0,16,4.85,-0.61,-1.53,0.10,0.03,-0.012
0,0,17,4.82,-0.61,-1.70,0.32,0.19,-0.012
0,0,18,4.78,-0.61,-1.79,0.08,-0.35,-0.012
0,0,19,4.74,-0.61,-1.96,0.25,0.19,-0.012
0,0,20,4.70,-0.61,-2.08,0.07,0.32,-0.012
0,0,21,4.66,-0.61,-2.24,0.36,-0.55,-0.013
0,0,22,4.61,-0.61,-2.33,0.42,0.64,-0.013
0,0,23,4.56,-0.61,-2.39,0.07,-0.51,-0.013
0,0,24,4.51,-0.61,-2.56,0.34,0.05,-0.013
0,0,25,4.46,-0.61,-2.65,0.36,-0.75,-0.013
0,0,26,4.40,-0.61,-2.74,0.14,-0.12,-0.013
0,0,27,4.35,-0.61,-2.89,0.13,-0.77,-0.013
0,0,28,4.29,-0.61,-3.04,0.26,-0.86,-0.014
0,0,29,4.22,-0.61,-3.15,0.18,-0.51,-0.014
0,0,30,4.16,-0.61,-3.28,0.04,-0.02,-0.014
0,0,31,4.09,-0.61,-3.46,0.09,0.07,-0.014
0,0,32,4.02,-0.61,-3.62,0.15,-0.87,-0.014
0,0,33,3.94,-0.61,-3.76,0.13,-0.25,-0.015
0,0,34,3.86,-0.61,-3.91,0.06,-0.85,-0.015
0,0,35,3.78,-0.61,-4.08,0.05,-0.53,-0.015
0,0,36,3.70,-0.61,-4.26,0.05,-0.62,-0.016
0,0,37,3.61,-0.61,-4.43,0.03,-0.78,-0.016
0,0,38,3.51,-0.61,-4.61,0.03,-0.85,-0.016
0,0,39,3.42,-0.61,-4.78,0.38,-0.72,-0.016
0,0,40,3.32,-0.62,-4.85,0.02,-0.51,-0.017
0,0,41,3.22,-0.62,-5.03,0.57,-0.90,-0.017
0,0,42,3.12,-0.62,-5.05,0.09,-0.41,-0.017
0,0,43,3.02,-0.62,-5.21,0.08,-0.34,-0.018
0,0,44,2.91,-0.62,-5.37,0.25,-0.95,-0.018
0,0,45,2.80,-0.62,-5.48,0.07,-0.85,-0.019
0,0,46,2.69,-0.62,-5.65,0.06,-0.76,-0.019
0,0,47,2.57,-0.62,-5.81,0.11,-0.50,-0.019
0,0,48,2.45,-0.63,-5.96,0.29,-0.53,-0.020
0,0,49,2.33,-0.63,-6.06,0.02,-0.61,-0.020
0,0,50,2.21,-0.63,-6.24,0.21,-0.59,-0.021
0,0,51,2.08,-0.63,-6.36,0.00,-0.55,-0.022
0,0,52,1.95,-0.63,-6.54,0.10,-0.78,-0.022
0,0,53,1.81,-0.64,-6.70,0.10,-0.87,-0.023
0,0,54,1.68,-0.64,-6.85,0.11,-0.86,-0.024
0,0,55,1.54,-0.64,-6.99,0.05,-0.33,-0.009
0,0,56,1.58,-0.64,0.04,0.49,0.32,-0.009
0,0,57,1.59,-0.64,-0.01,0.58,-0.22,-0.009
0,0,58,1.59,-0.64,-0.04,0.14,-0.31,-0.009
0,0,59,1.59,-0.64,-0.07,0.54,0.05,-0.009
0,0,60,1.59,-0.64,-0.02,0.28,-0.88,-0.009
0,0,61,1.59,-0.64,-0.03,0.44,-0.53,-0.009
0,0,62,1.59,-0.64,-0.03,0.34,-0.04,-0.009
0,0,63,1.58,-0.64,-0.05,0.46,-0.32,-0.009
0,0,64,1.58,-0.64,-0.06,0.06,-0.81,-0.009
0,0,65,1.58,-0.65,-0.08,0.58,-0.94,-0.009
0,0,66,1.58,-0.65,-0.08,0.15,-0.90,-0.009
0,0,67,1.58,-0.65,-0.10,0.48,-0.77,-0.009
0,0,68,1.58,-0.65,-0.06,0.17,-0.43,-0.009
0,0,69,1.58,-0.65,0.18,0.24,-0.89,-0.009
0,0,70,1.58,-0.65,0.22,0.70,0.11,-0.009
0,0,71,1.59,-0.65,0.24,0.33,-0.92,-0.009
0,0,72,1.59,-0.65,0.20,0.63,-0.61,-0.009
0,0,73,1.60,-0.66,0.20,0.20,0.09,-0.009
0,0,74,1.60,-0.66,0.18,0.32,-0.73,-0.009
0,0,75,1.60,-0.66,0.17,0.28,-0.27,-0.009
0,0,76,1.61,-0.66,0.16,0.05,0.29,-0.009
0,0,77,1.61,-0.66,0.13,0.09,-0.24,-0.009
0,0,78,1.61,-0.66,0.11,0.31,-0.51,-0.009
0,0,79,1.62,-0.65,0.10,0.38,-0.35,-0.009
0,0,80,1.62,-0.65,0.09,0.34,-0.16,-0.009
0,0,81,1.62,-0.65,0.08,0.59,-0.74,-0.009
0,0,82,1.62,-0.65,0.08,0.75,-0.61,-0.009
